ingreso_mensual,monto_prestamo,historial_crediticio,edad,empleo_estable,ratio_deuda_ingreso,score_normalizado,riesgo_demografico,es_moroso
3463.87,9846.74,364,21,0,0.24,0.12,1,0
3023.38,7405.5,825,54,0,0.2,0.95,0,0
5078.65,9557.1,669,40,0,0.16,0.67,0,0
4065.44,15757.44,381,62,0,0.32,0.15,0,1
5022.68,28269.17,520,42,1,0.47,0.4,0,0
4595.55,8731.07,724,27,1,0.16,0.77,0,0
5549.1,28804.7,556,27,1,0.43,0.47,0,0
3935.74,14002.1,700,32,0,0.3,0.73,0,0
2824.27,11533.6,493,61,0,0.34,0.35,0,0
5251.78,20160.64,837,25,1,0.32,0.98,0,0
4065.51,23371.84,512,39,1,0.48,0.39,0,0
2884.23,12525.05,576,62,1,0.36,0.5,0,0
3023.73,9718.5,482,60,1,0.27,0.33,0,0
4220.24,7097.88,386,39,1,0.14,0.16,0,0
1000.0,1711.96,573,52,1,0.14,0.5,0,0
4167.96,23457.79,548,36,1,0.47,0.45,0,0
4174.01,16342.23,763,28,1,0.33,0.84,0,0
3501.89,17118.77,510,21,1,0.41,0.38,0,0
4526.74,10353.79,470,18,1,0.19,0.31,0,0
2869.73,8241.19,673,47,1,0.24,0.68,0,0
5213.3,14513.81,773,20,0,0.23,0.86,1,0
1985.07,11614.82,655,69,1,0.49,0.65,0,0
4016.63,11477.57,835,56,1,0.24,0.97,0,0
2792.37,14549.27,708,24,1,0.43,0.74,0,0
6314.32,24100.18,535,59,1,0.32,0.43,0,0
5083.08,17321.96,306,45,1,0.28,0.01,0,0
4823.52,11759.77,760,36,1,0.2,0.84,0,0
3370.11,5657.41,733,53,1,0.14,0.79,0,0
3052.04,15963.56,638,67,1,0.44,0.61,0,0
2604.66,8589.4,409,69,1,0.27,0.2,0,0
3448.81,18778.84,550,30,1,0.45,0.45,0,0
4551.14,7877.23,578,69,1,0.14,0.51,0,0
2146.48,3288.57,483,57,1,0.13,0.33,0,0
5144.72,27997.71,332,29,1,0.45,0.06,0,0
4733.55,15339.92,614,20,1,0.27,0.57,0,0
4539.34,11406.87,445,58,0,0.21,0.26,0,0
4833.87,28826.47,416,68,1,0.5,0.21,0,0
3378.26,12227.09,418,60,0,0.3,0.21,0,1
4299.31,24086.0,745,32,1,0.47,0.81,0,0
2228.54,7941.21,437,67,1,0.3,0.25,0,0
4094.23,19523.5,493,59,1,0.4,0.35,0,0
3345.48,8274.65,407,52,1,0.21,0.19,0,0
2519.9,5188.02,301,19,0,0.17,0.0,1,0
2778.86,6340.67,490,52,1,0.19,0.35,0,0
1606.49,5542.46,743,54,0,0.29,0.81,0,0
4689.88,16866.38,612,24,1,0.3,0.57,0,0
2580.94,8571.83,640,61,1,0.28,0.62,0,0
2481.57,8183.06,469,59,0,0.27,0.31,0,1
3144.78,7163.1,840,66,0,0.19,0.98,0,0
3828.5,18515.55,405,35,1,0.4,0.19,0,0
5432.15,16536.67,446,66,0,0.25,0.27,0,0
3565.81,6367.45,404,61,0,0.15,0.19,0,0
4466.18,16086.86,717,68,1,0.3,0.76,0,0
3105.36,6005.52,793,30,1,0.16,0.9,0,0
2676.75,5466.13,595,61,0,0.17,0.54,0,0
4587.24,26341.12,706,68,0,0.48,0.74,0,0
2855.38,5757.03,610,54,0,0.17,0.56,0,0
5993.73,20213.85,569,21,0,0.28,0.49,1,1
2929.05,9680.41,364,34,1,0.28,0.12,0,0
3580.55,16031.5,720,68,1,0.37,0.76,0,0
4488.94,26606.25,791,18,1,0.49,0.89,0,0
2434.46,3900.65,835,35,1,0.13,0.97,0,0
3305.5,6473.6,357,23,1,0.16,0.1,0,0
3224.71,13828.08,736,28,1,0.36,0.79,0,0
2547.81,8541.38,556,51,1,0.28,0.47,0,0
3777.98,15421.19,835,18,0,0.34,0.97,1,0
2990.3,13667.42,302,39,0,0.38,0.0,0,0
3693.9,14305.53,588,41,1,0.32,0.52,0,0
4444.62,12501.87,569,30,0,0.23,0.49,0,1
3593.71,21426.78,593,62,1,0.5,0.53,0,0
2196.53,11612.41,415,31,1,0.44,0.21,0,0
3550.84,10865.59,820,46,1,0.26,0.95,0,0
3318.21,19155.7,608,26,1,0.48,0.56,0,0
2993.78,5680.13,776,69,1,0.16,0.87,0,0
4783.74,10887.73,386,62,1,0.19,0.16,0,0
2861.59,16331.78,469,59,1,0.48,0.31,0,0
3165.65,11634.6,316,23,1,0.31,0.03,0,1
3538.81,13900.99,393,40,1,0.33,0.17,0,1
1575.11,4290.59,481,32,1,0.23,0.33,0,0
4406.28,11846.8,406,21,1,0.22,0.19,0,1
5580.29,29897.66,443,61,0,0.45,0.26,0,1
1000.0,5509.22,540,25,1,0.46,0.44,0,0
2892.63,14449.32,472,40,1,0.42,0.31,0,0
5895.08,12553.85,357,54,0,0.18,0.1,0,1
3216.41,7562.57,496,20,1,0.2,0.36,0,0
2699.59,13336.41,829,23,0,0.41,0.96,1,0
3758.4,5971.5,594,34,1,0.13,0.53,0,0
3136.78,17817.69,676,20,1,0.47,0.68,0,0
1392.9,7709.82,765,44,1,0.46,0.85,0,0
5241.12,9600.9,584,33,0,0.15,0.52,0,1
1820.38,6606.14,811,21,0,0.3,0.93,1,0
2641.28,10024.95,332,62,1,0.32,0.06,0,0
2421.66,8773.07,420,26,1,0.3,0.22,0,0
5007.53,24873.17,336,42,1,0.41,0.07,0,0
3586.63,16307.44,389,42,1,0.38,0.16,0,1
4184.5,19302.79,477,61,1,0.38,0.32,0,0
2913.54,12460.38,574,44,0,0.36,0.5,0,0
4062.9,23557.19,735,67,1,0.48,0.79,0,0
3243.58,10404.37,717,62,0,0.27,0.76,0,1
1927.95,3283.94,423,64,0,0.14,0.22,0,0
2515.15,8551.23,324,30,1,0.28,0.04,0,0
2981.67,13426.08,720,42,1,0.38,0.76,0,0
3090.53,13350.57,508,30,0,0.36,0.38,0,0
3105.12,12164.34,330,68,1,0.33,0.05,0,0
2008.26,9539.57,779,35,1,0.4,0.87,0,0
2180.61,5343.55,436,42,1,0.2,0.25,0,1
4331.17,24917.35,457,47,0,0.48,0.29,0,1
3153.17,14662.99,374,45,0,0.39,0.13,0,1
2503.34,14988.83,543,35,0,0.5,0.44,0,0
4012.54,19326.06,635,20,1,0.4,0.61,0,0
2803.59,4904.99,607,58,0,0.15,0.56,0,1
4022.23,17569.18,322,29,0,0.36,0.04,0,0
4801.47,20322.02,396,47,1,0.35,0.17,0,0
3864.54,14177.91,586,22,0,0.31,0.52,1,0
